X,Y,Thickness
248914.55,571381.53,19.05
249414.55,571381.53,22.07
249914.55,571381.53,26.8
250414.55,571381.53,27.68
250914.55,571381.53,28.94
251414.55,571381.53,29.28
251914.55,571381.53,29.8
252414.55,571381.53,31.03
252914.55,571381.53,29.84
253414.55,571381.53,29.2
253914.55,571381.53,30.09
254414.55,571381.53,31.84
254914.55,571381.53,36.52
255414.55,571381.53,32.46
255914.55,571381.53,36.29
256414.55,571381.53,30.7
256914.55,571381.53,27.32
257414.55,571381.53,26.38
257914.55,571381.53,17.23
258414.55,571381.53,14.64
258914.55,571381.53,15.53
259414.55,571381.53,19.79
259914.55,571381.53,26.54
260414.55,571381.53,28
260914.55,571381.53,26.04
261414.55,571381.53,24.83
261914.55,571381.53,24.77
262414.55,571381.53,25.82
262914.55,571381.53,25.68
263414.55,571381.53,23.46
263914.55,571381.53,26.28
264414.55,571381.53,30.4
264914.55,571381.53,16.02
265414.55,571381.53,33.37
265914.55,571381.53,57.59
266414.55,571381.53,51.97
266914.55,571381.53,34.65
267414.55,571381.53,44.67
267914.55,571381.53,52.22
268414.55,571381.53,55.54
268914.55,571381.53,57.03
269414.55,571381.53,49.36
231414.55,571881.53,60.89
231914.55,571881.53,57.06
232414.55,571881.53,56.83
232914.55,571881.53,60.62
233414.55,571881.53,58.87
233914.55,571881.53,60.33
234414.55,571881.53,64.87
234914.55,571881.53,69.29
235414.55,571881.53,71.44
235914.55,571881.53,67.67
236414.55,571881.53,68.38
236914.55,571881.53,71.16
237414.55,571881.53,70.59
237914.55,571881.53,69.86
238414.55,571881.53,65.24
238914.55,571881.53,63.68
239414.55,571881.53,62.13
239914.55,571881.53,57.18
240414.55,571881.53,53.78
240914.55,571881.53,52.84
241414.55,571881.53,55.61
241914.55,571881.53,66.62
242414.55,571881.53,58.29
242914.55,571881.53,52.08
243414.55,571881.53,47.64
243914.55,571881.53,40.5
244414.55,571881.53,33.96
244914.55,571881.53,37.49
245414.55,571881.53,34.03
245914.55,571881.53,27.67
246414.55,571881.53,23.07
246914.55,571881.53,19.16
247414.55,571881.53,19.26
247914.55,571881.53,20.3
248414.55,571881.53,23.72
248914.55,571881.53,25.34
249414.55,571881.53,26.6
249914.55,571881.53,31.21
250414.55,571881.53,32.92
250914.55,571881.53,34.02
251414.55,571881.53,33.57
251914.55,571881.53,34.43
252414.55,571881.53,34.93
252914.55,571881.53,31.48
253414.55,571881.53,29.61
253914.55,571881.53,29.34
254414.55,571881.53,28.04
254914.55,571881.53,33.66
255414.55,571881.53,47.4
255914.55,571881.53,51.91
256414.55,571881.53,51.1
256914.55,571881.53,39.98
257414.55,571881.53,22.92
257914.55,571881.53,16.35
258414.55,571881.53,16.11
258914.55,571881.53,17.89
259414.55,571881.53,20.08
259914.55,571881.53,23.37
260414.55,571881.53,26.62
260914.55,571881.53,25.61
261414.55,571881.53,24.46
261914.55,571881.53,24.78
262414.55,571881.53,25.52
262914.55,571881.53,22.76
263414.55,571881.53,24.86
263914.55,571881.53,18.37
264414.55,571881.53,17.04
264914.55,571881.53,7.17
265414.55,571881.53,30.41
265914.55,571881.53,49.37
266414.55,571881.53,45.9
